Script started on 2025-10-13 22:47:07+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="87" LINES="43"]
[?2004h]0;mrgrey@codeby: ~/codeby-devops/lesson4[01;32mmrgrey@codeby[00m:[01;34m~/codeby-devops/lesson4[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.3  0.4  25292 15748 ?        Ss   22:19   0:05 /sbin/init auto auto
mrgrey      2397  0.0  0.2 683904  7196 ?        Ssl  22:20   0:00 /usr/libexec/xdg-doc
mrgrey      2405  0.0  0.1 310052  6276 ?        Ssl  22:20   0:00 /usr/libexec/xdg-per
root        2412  0.0  0.0   2772  2024 ?        Ss   22:20   0:00 fusermount3 -o rw,no
mrgrey      2427  0.0  0.1 170884  6048 tty2     Ssl+ 22:20   0:00 /usr/libexec/gdm-way
mrgrey      2440  0.0  0.4 198720 14344 tty2     Sl+  22:20   0:00 /usr/libexec/gnome-s
mrgrey      2496  0.0  0.2  97720  7312 ?        Ssl  22:20   0:00 /usr/libexec/gcr-ssh
mrgrey      2499  0.0  0.1  90124  5360 ?        Ssl  22:20   0:00 /usr/libexec/gnome-s
mrgrey      2510  0.0  0.2 315584  8172 ?        Ssl  22:20   0:00 /usr/libexec/gvfsd
mrgrey      2537  0.0  0.2 394960  7276 ?        Sl   22:20   0:00 /usr/libexec/gvfsd-f
mrgrey      2546  0.0  0.4 560280 16128 ?        Ssl  22:20   0:00 /usr/libexec/gnome-s
mrgrey      2592  0.0  0.2 381484  7448 ?        Sl   22:20   0:00 /usr/libexec/at-spi-
mrgrey      2594  1.4  8.4 3879736 289368 ?      Ssl  22:20   0:23 /usr/bin/gnome-shell
mrgrey      2612  0.0  0.1   8884  4964 ?        S    22:20   0:00 /usr/bin/dbus-daemon
mrgrey      2641  0.0  0.2 169124  7172 ?        Sl   22:20   0:00 /usr/libexec/at-spi2
mrgrey      2664  0.0  0.5 659112 18380 ?        Sl   22:20   0:00 /usr/libexec/gnome-s
mrgrey      2674  0.0  1.2 609564 43732 ?        Ssl  22:20   0:00 /usr/libexec/evoluti
mrgrey      2681  0.0  0.8 2733588 28356 ?       Sl   22:20   0:00 /usr/bin/gjs -m /usr
mrgrey      2683  0.0  2.7 252160 92764 ?        S    22:20   0:00 /usr/bin/Xwayland :0
mrgrey      2698  0.0  0.3 388380 11260 ?        Ssl  22:20   0:01 /usr/bin/ibus-daemon
mrgrey      2699  0.0  0.2 245056  6920 ?        Ssl  22:20   0:00 /usr/libexec/gsd-a11
mrgrey      2700  0.0  0.6 413840 21128 ?        Ssl  22:20   0:00 /usr/libexec/gsd-col
mrgrey      2701  0.0  0.2 257036 10004 ?        Ssl  22:20   0:00 /usr/libexec/gsd-dat
mrgrey      2703  0.0  0.2 386148  8624 ?        Ssl  22:20   0:00 /usr/libexec/gsd-hou
mrgrey      2706  0.0  0.5 412440 20356 ?        Ssl  22:20   0:00 /usr/libexec/gsd-key
mrgrey      2707  0.0  0.7 581284 24312 ?        Ssl  22:20   0:00 /usr/libexec/gsd-med
mrgrey      2711  0.0  0.6 489616 22364 ?        Ssl  22:20   0:00 /usr/libexec/gsd-pow
mrgrey      2712  0.0  0.3 323552 11520 ?        Ssl  22:20   0:00 /usr/libexec/gsd-pri
